iter	Passed	Remaining
0	6	3058
1	12	3027
2	17	2934
3	22	2836
4	28	2784
5	33	2748
6	38	2727
7	44	2711
8	49	2685
9	54	2661
10	59	2666
11	65	2663
12	70	2639
13	75	2637
14	81	2637
15	87	2646
16	92	2637
17	98	2635
18	103	2623
19	109	2617
20	114	2612
21	119	2603
22	125	2593
23	130	2584
24	135	2574
25	141	2574
26	146	2565
27	152	2563
28	157	2556
29	162	2547
30	167	2539
31	173	2534
32	178	2530
33	184	2528
34	189	2521
35	195	2518
36	200	2510
37	205	2504
38	211	2495
39	216	2486
40	221	2480
41	226	2472
42	232	2465
43	237	2458
44	242	2450
45	247	2443
46	252	2438
47	258	2429
48	263	2425
49	268	2417
50	273	2411
51	279	2404
52	284	2401
53	290	2395
54	295	2390
55	300	2383
56	305	2377
57	311	2372
58	316	2366
59	321	2360
60	327	2354
61	332	2349
62	338	2345
63	343	2340
64	349	2336
65	354	2330
66	360	2328
67	365	2323
68	370	2317
69	376	2310
70	381	2304
71	386	2297
72	391	2292
73	397	2286
74	402	2279
75	407	2273
76	412	2266
77	417	2259
78	422	2253
79	428	2247
80	433	2241
81	438	2234
82	443	2227
83	448	2221
84	453	2216
85	458	2209
86	464	2203
87	469	2196
88	474	2190
89	479	2183
90	484	2178
91	489	2171
92	494	2164
93	499	2158
94	504	2151
95	509	2145
96	514	2139
97	520	2133
98	525	2126
99	530	2120
100	535	2113
101	539	2105
102	544	2099
103	550	2094
104	555	2088
105	560	2083
106	565	2078
107	571	2072
108	575	2065
109	580	2059
110	586	2054
111	591	2048
112	596	2043
113	601	2037
114	606	2031
115	612	2026
116	617	2020
117	622	2015
118	627	2009
119	632	2004
120	638	1999
121	643	1994
122	648	1988
123	653	1982
124	659	1977
125	664	1971
126	669	1965
127	674	1959
128	679	1953
129	684	1946
130	689	1940
131	693	1934
132	698	1927
133	703	1922
134	708	1916
135	713	1910
136	718	1904
137	724	1899
138	729	1893
139	734	1888
140	739	1882
141	744	1876
142	749	1871
143	754	1865
144	759	1859
145	764	1854
146	769	1848
147	774	1842
148	780	1837
149	785	1832
150	790	1826
151	795	1820
152	800	1815
153	805	1809
154	810	1804
155	815	1799
156	820	1793
157	825	1787
158	831	1783
159	836	1776
160	841	1771
161	846	1765
162	851	1760
163	856	1755
164	861	1749
165	866	1743
166	872	1739
167	877	1734
168	882	1728
169	887	1722
170	892	1717
171	897	1711
172	902	1706
173	907	1701
174	913	1695
175	918	1689
176	923	1684
177	929	1680
178	934	1676
179	939	1670
180	944	1665
181	950	1660
182	955	1654
183	960	1648
184	965	1643
185	970	1638
186	975	1632
187	980	1627
188	986	1622
189	991	1617
190	996	1612
191	1001	1606
192	1007	1602
193	1012	1596
194	1017	1591
195	1022	1585
196	1027	1580
197	1032	1575
198	1037	1569
199	1042	1564
200	1047	1558
201	1052	1553
202	1058	1547
203	1063	1542
204	1068	1537
205	1073	1532
206	1079	1527
207	1084	1522
208	1089	1517
209	1095	1512
210	1100	1506
211	1105	1501
212	1110	1496
213	1115	1490
214	1120	1485
215	1125	1480
216	1131	1475
217	1136	1470
218	1141	1464
219	1146	1459
220	1152	1454
221	1157	1449
222	1162	1443
223	1167	1438
224	1172	1432
225	1177	1427
226	1182	1422
227	1186	1416
228	1191	1410
229	1197	1405
230	1202	1400
231	1207	1395
232	1213	1390
233	1218	1384
234	1223	1379
235	1228	1374
236	1233	1368
237	1238	1363
238	1243	1357
239	1247	1351
240	1253	1346
241	1258	1341
242	1263	1335
243	1268	1330
244	1273	1325
245	1278	1320
246	1283	1314
247	1288	1309
248	1294	1304
249	1299	1299
250	1304	1294
251	1310	1289
252	1315	1283
253	1320	1279
254	1325	1273
255	1330	1268
256	1336	1263
257	1341	1257
258	1346	1252
259	1351	1247
260	1356	1242
261	1361	1236
262	1367	1232
263	1372	1226
264	1377	1221
265	1383	1216
266	1388	1211
267	1393	1206
268	1398	1201
269	1404	1196
270	1409	1190
271	1414	1185
272	1419	1180
273	1425	1175
274	1430	1170
275	1435	1165
276	1441	1160
277	1446	1154
278	1451	1149
279	1457	1145
280	1462	1139
281	1467	1134
282	1473	1129
283	1478	1124
284	1483	1119
285	1488	1113
286	1494	1108
287	1499	1103
288	1504	1098
289	1509	1093
290	1515	1088
291	1520	1082
292	1525	1077
293	1530	1072
294	1536	1067
295	1541	1062
296	1546	1057
297	1551	1052
298	1557	1046
299	1563	1042
300	1568	1036
301	1573	1031
302	1578	1026
303	1584	1021
304	1589	1016
305	1594	1010
306	1599	1005
307	1604	1000
308	1610	995
309	1615	990
310	1620	984
311	1625	979
312	1630	974
313	1636	969
314	1641	963
315	1646	958
316	1652	953
317	1657	948
318	1663	943
319	1668	938
320	1673	933
321	1679	928
322	1684	923
323	1689	918
324	1695	912
325	1700	907
326	1705	902
327	1711	897
328	1716	892
329	1722	887
330	1727	882
331	1733	877
332	1738	871
333	1743	866
334	1748	861
335	1754	856
336	1759	850
337	1764	845
338	1770	840
339	1775	835
340	1780	830
341	1785	824
342	1790	819
343	1796	814
344	1801	809
345	1806	803
346	1811	798
347	1816	793
348	1822	788
349	1827	783
350	1832	777
351	1837	772
352	1842	767
353	1848	762
354	1853	757
355	1859	751
356	1864	746
357	1869	741
358	1874	736
359	1879	730
360	1884	725
361	1890	720
362	1895	715
363	1900	710
364	1906	705
365	1911	699
366	1916	694
367	1921	689
368	1926	684
369	1932	678
370	1937	673
371	1942	668
372	1947	663
373	1952	657
374	1957	652
375	1962	647
376	1967	641
377	1972	636
378	1977	631
379	1982	626
380	1987	620
381	1992	615
382	1997	610
383	2002	605
384	2007	599
385	2012	594
386	2017	589
387	2023	583
388	2028	578
389	2033	573
390	2038	568
391	2044	563
392	2049	557
393	2054	552
394	2059	547
395	2065	542
396	2070	537
397	2076	532
398	2081	526
399	2086	521
400	2091	516
401	2096	511
402	2102	506
403	2107	500
404	2113	495
405	2118	490
406	2123	485
407	2129	480
408	2134	474
409	2139	469
410	2144	464
411	2149	459
412	2154	453
413	2159	448
414	2164	443
415	2170	438
416	2175	432
417	2180	427
418	2185	422
419	2190	417
420	2195	412
421	2200	406
422	2205	401
423	2210	396
424	2215	391
425	2220	385
426	2225	380
427	2231	375
428	2236	370
429	2241	364
430	2246	359
431	2251	354
432	2256	349
433	2262	344
434	2267	338
435	2271	333
436	2277	328
437	2282	323
438	2287	317
439	2292	312
440	2297	307
441	2303	302
442	2308	296
443	2313	291
444	2318	286
445	2322	281
446	2327	276
447	2333	270
448	2338	265
449	2344	260
450	2349	255
451	2354	250
452	2359	244
453	2364	239
454	2369	234
455	2375	229
456	2380	223
457	2385	218
458	2390	213
459	2395	208
460	2401	203
461	2406	197
462	2411	192
463	2416	187
464	2422	182
465	2427	177
466	2432	171
467	2437	166
468	2442	161
469	2447	156
470	2452	151
471	2458	145
472	2463	140
473	2469	135
474	2474	130
475	2479	125
476	2484	119
477	2489	114
478	2494	109
479	2499	104
480	2505	98
481	2510	93
482	2515	88
483	2520	83
484	2525	78
485	2531	72
486	2536	67
487	2541	62
488	2546	57
489	2551	52
490	2556	46
491	2561	41
492	2566	36
493	2571	31
494	2576	26
495	2581	20
496	2586	15
497	2591	10
498	2596	5
499	2601	0
