userid,read_commentsum,likesum,click_avatarsum,forwardsum,commentsum,followsum,favoritesum,date_
8,0,24,0,0,0,0,0,8
12,42,6,1,1,0,1,0,8
13,4,3,0,0,0,0,0,8
25,0,7,0,0,0,0,0,8
37,0,0,0,2,0,0,0,8
71,0,2,0,0,0,0,0,8
76,0,2,0,1,0,0,2,8
96,0,1,0,0,0,0,0,8
99,0,10,0,0,5,0,0,8
108,0,0,0,0,0,0,0,8
129,0,2,0,0,0,0,0,8
135,4,1,0,0,0,0,0,8
137,0,0,0,0,0,0,0,8
154,0,0,0,0,0,0,0,8
168,0,2,0,0,0,0,0,8
172,48,6,0,0,0,0,0,8
175,0,0,0,3,0,0,0,8
179,8,2,3,0,0,0,0,8
196,0,2,0,1,0,0,0,8
200,1,0,2,0,0,0,0,8
213,11,14,2,0,0,0,0,8
249,0,1,0,0,0,0,0,8
252,0,1,0,0,0,0,0,8
271,2,0,0,2,0,0,0,8
273,4,4,0,2,0,0,0,8
275,0,0,2,0,0,0,0,8
284,0,16,1,0,0,0,0,8
307,0,2,1,0,0,1,0,8
318,0,1,0,0,0,0,0,8
334,0,1,0,0,0,0,0,8
336,0,12,0,1,0,0,0,8
354,9,21,3,0,0,0,0,8
359,4,2,1,0,0,0,0,8
361,0,16,0,0,0,0,0,8
368,0,4,0,0,0,0,0,8
399,0,0,0,0,0,0,0,8
416,0,4,0,1,0,0,0,8
428,0,0,0,0,0,0,0,8
435,0,0,0,1,0,0,0,8
443,2,2,0,0,0,0,0,8
451,0,2,0,1,0,0,0,8
452,3,27,0,0,0,0,0,8
499,2,3,1,0,0,0,0,8
502,0,21,6,0,0,0,0,8
506,5,21,0,0,0,0,0,8
507,60,15,2,0,0,0,0,8
537,2,19,0,4,0,0,0,8
547,0,0,0,1,0,0,0,8
548,2,2,0,0,0,0,0,8
562,0,3,0,0,0,0,7,8
588,0,1,2,0,0,0,0,8
596,0,0,0,0,0,0,0,8
607,0,19,3,0,0,0,0,8
610,1,3,0,0,0,0,0,8
611,0,0,0,5,0,0,0,8
613,55,138,0,0,0,0,0,8
625,0,0,3,0,0,0,0,8
631,0,1,14,3,0,0,0,8
663,0,2,0,0,0,0,0,8
669,0,0,1,5,0,0,0,8
677,1,1,8,0,0,0,0,8
690,1,1,5,0,0,0,0,8
693,0,9,0,0,0,0,0,8
709,14,3,4,0,0,0,0,8
725,125,2,7,0,0,0,0,8
736,0,7,0,1,0,0,0,8
740,0,0,0,1,0,0,0,8
741,0,0,1,0,0,0,0,8
755,0,2,9,0,0,0,0,8
756,135,17,5,1,1,0,0,8
760,11,0,0,2,0,0,0,8
762,0,0,0,0,0,0,0,8
765,0,0,0,0,0,0,0,8
776,0,0,0,4,0,0,1,8
778,0,0,0,0,0,0,0,8
781,0,4,0,0,0,0,0,8
785,0,0,0,0,0,0,0,8
788,0,3,3,7,0,0,0,8
789,0,17,0,0,0,0,0,8
812,1,9,1,4,0,0,0,8
828,0,0,0,7,0,0,0,8
885,0,0,1,0,0,0,0,8
895,0,0,1,0,0,0,0,8
903,2,12,0,0,0,0,0,8
914,0,0,1,0,0,0,0,8
947,167,3,2,0,0,0,0,8
959,0,4,2,0,0,1,0,8
970,4,2,1,0,1,0,0,8
1000,0,1,0,0,0,0,0,8
1079,0,3,1,0,0,0,0,8
1087,8,0,12,0,0,2,0,8
1119,47,10,1,0,0,0,0,8
1120,0,0,4,0,0,0,0,8
1131,0,2,0,0,0,0,0,8
1159,0,3,2,0,0,0,0,8
1169,1,5,1,0,0,0,0,8
1180,6,5,0,0,0,0,0,8
1184,0,0,0,0,0,0,0,8
1194,0,0,8,0,0,0,0,8
1195,0,0,0,0,0,0,0,8
1198,23,0,0,0,0,0,0,8
1209,0,1,0,0,0,0,0,8
1220,2,3,0,0,0,0,0,8
1227,0,0,0,2,0,0,0,8
1230,7,2,1,0,0,0,3,8
1256,8,2,4,0,0,1,4,8
1306,3,82,0,2,0,0,0,8
1329,0,3,0,0,0,0,0,8
1363,0,1,3,0,0,0,0,8
1366,0,1,0,0,0,0,0,8
1384,2,1,0,0,0,0,0,8
1398,0,7,0,0,0,0,0,8
1399,6,14,0,0,0,0,0,8
1410,38,18,0,0,0,0,1,8
1415,3,25,4,7,2,1,5,8
1437,0,0,0,0,0,0,5,8
1457,0,1,6,0,0,0,0,8
1461,312,16,1,0,0,1,0,8
1473,0,0,10,0,0,0,0,8
1541,9,2,0,0,0,0,0,8
1581,0,0,0,0,0,0,0,8
1592,0,0,0,0,0,0,0,8
1605,0,3,0,0,0,0,0,8
1612,0,1,0,0,0,0,0,8
1620,0,0,0,0,0,0,0,8
1645,0,6,2,0,0,0,0,8
1650,0,0,1,3,0,0,0,8
1661,0,2,0,0,0,0,0,8
1672,0,2,0,0,0,0,0,8
1674,0,0,0,1,0,0,0,8
1682,0,0,0,0,0,0,0,8
1693,0,0,0,0,0,0,0,8
1711,0,0,3,0,0,0,0,8
1730,1,1,0,4,0,0,0,8
1734,0,10,0,0,0,0,0,8
1738,41,28,0,1,0,0,0,8
1740,0,0,0,0,0,0,0,8
1772,70,11,1,0,0,0,0,8
1779,0,0,1,0,0,0,0,8
1785,0,0,6,8,0,0,0,8
1786,0,1,0,0,0,0,0,8
1792,0,1,2,0,0,0,0,8
1811,0,0,0,0,0,0,0,8
1815,0,0,2,0,1,0,0,8
1818,0,0,0,1,0,0,0,8
1822,2,6,4,22,0,2,0,8
1841,0,11,0,5,1,0,1,8
1845,2,1,0,0,0,0,0,8
1846,0,0,0,3,0,0,0,8
1851,0,2,0,0,0,0,0,8
1882,10,1,11,0,0,1,0,8
1905,0,0,0,0,0,0,0,8
1914,0,2,0,0,0,0,0,8
1920,0,7,13,0,0,5,1,8
1924,0,2,0,3,0,0,0,8
1940,0,4,0,2,0,0,0,8
1947,0,0,0,0,0,0,0,8
1970,0,3,0,0,0,0,0,8
2011,8,7,0,1,0,0,0,8
2036,90,3,2,0,0,0,0,8
2069,28,1,2,1,0,0,0,8
2070,1,9,0,0,0,0,0,8
2077,0,0,0,0,0,0,0,8
2093,93,0,6,0,0,0,0,8
2112,0,3,0,0,0,0,0,8
